Date, Price 
07-Feb-22,6964
08-Feb-22,6964
09-Feb-22,6964
10-Feb-22,6964
11-Feb-22,6964
14-Feb-22,6896
15-Feb-22,6896
16-Feb-22,6896
17-Feb-22,6896
18-Feb-22,6896
21-Feb-22,6861
22-Feb-22,6861
23-Feb-22,6861
24-Feb-22,6884
25-Feb-22,6884
28-Feb-22,6884
01-Mar-22,6886
02-Mar-22,6886
03-Mar-22,6886
04-Mar-22,6851
07-Mar-22,6989
08-Mar-22,6938
09-Mar-22,6938
10-Mar-22,6884
11-Mar-22,6884
14-Mar-22,6182
15-Mar-22,6602
16-Mar-22,6975
17-Mar-22,6746
18-Mar-22,6775
21-Mar-22,6775
22-Mar-22,6922
23-Mar-22,8139
24-Mar-22,8139
